parameter,value,CV
U_goes_down_False,1,
U_goes_down_True,0.982218088845084,
alpha_run_id_1342372,0.120199528841497,
alpha_run_id_1342384,0.109477910417176,
alpha_run_id_1342396,0.0839657998653086,
alpha_run_id_1342408,0.0474506814383339,
k_run_id_1200432,3.86861127278824e-16,
k_run_id_1313842,3.86861088435283e-16,
k_run_id_1313860,3.86861127384241e-16,
k_run_id_1313884,3.86861127478899e-16,
k_run_id_1313920,3.86861127238191e-16,
k_run_id_1313938,3.86861354380584e-16,
k_run_id_1313956,3.86861124851217e-16,
k_run_id_1313974,3.8686092326453e-16,
k_run_id_1313992,3.86861136576128e-16,
k_run_id_1314016,3.86861127292425e-16,
k_run_id_1314040,3.86861127278871e-16,
k_run_id_1314058,3.8686112706821e-16,
k_run_id_1342240,3.86861123389192e-16,
k_run_id_1342258,3.86861127819887e-16,
k_run_id_1342276,3.86861127278502e-16,
k_run_id_1342294,3.86861124722806e-16,
k_run_id_1342312,3.8686112726807e-16,
k_run_id_1342336,3.86847842320974e-16,
k_run_id_1342348,3.86861127283626e-16,
k_run_id_1342372,3.86861127273018e-16,
k_run_id_1342384,3.86861127456689e-16,
k_run_id_1342396,3.86861059342134e-16,
k_run_id_1342408,3.86861127278794e-16,
omega_L,5.86711926242527e-08,5.96046447753906e-06
omega_m,3.06972545173353e-08,2.98023223876953e-06
omega_e,5.54307259465811e-08,5.57550398524693e-06
a,0.00252888344873728,
b,0.135452323036721,
